model,parameter,true,mean_estimate,bias,std,variance,rmse
GBM,mu,0.08,0.08958299361370481,0.009582993613704807,0.14913079080136254,0.022239992765039757,0.14919012441319052
GBM,sigma,0.22,0.2195377883522154,-0.0004622116477845939,0.006729357457947533,4.528425179683409e-05,0.006734013951440284
OU,theta,1.4,1.7120890653738023,0.31208906537380243,0.6085301106671402,0.3703088955885619,0.6829891048392794
OU,mu,1.0,0.9903182167717203,-0.009681783228279728,0.20104970837824968,0.04042098523897924,0.20094771844436396
OU,sigma,0.35,0.3493076329576744,-0.000692367042325559,0.00795518851606911,6.328502432619784e-05,0.007972041543193885
