replication,seed,mu_hat,sigma_hat,nll
36.0,1036.0,0.09819673897301122,0.21336403156215403,-1456.8278880340897
37.0,1037.0,0.1894114230298642,0.22671415357181404,-1426.2400205152685
38.0,1038.0,0.12258324059382969,0.22384842628066506,-1432.651310767861
39.0,1039.0,0.19236065542405578,0.2334625125818095,-1411.4569326268888
40.0,1040.0,0.14772014398313987,0.22219389437177928,-1436.3903636248187
41.0,1041.0,0.11338696123378002,0.22984353948585193,-1419.3307621719587
42.0,1042.0,0.17803454051096415,0.20775509258016484,-1470.2543649529723
43.0,1043.0,0.1808765893919051,0.22032535636887737,-1440.6466699838643
44.0,1044.0,0.13622834463443748,0.2132082436051642,-1457.196016383486
45.0,1045.0,0.21550405758290592,0.222320857586878,-1436.1024667689335
46.0,1046.0,-0.058602812326911835,0.21990222346955615,-1441.6155281685737
47.0,1047.0,0.30312390389065036,0.22452526268897302,-1431.129707091113
48.0,1048.0,0.16596469223292015,0.214209354862534,-1454.8350339969406
49.0,1049.0,0.13406255198138117,0.2253969833744328,-1429.1767048389197
50.0,1050.0,0.22345160646149825,0.23709380213634018,-1403.678025147965
51.0,1051.0,-0.11457876334654318,0.2240131569936889,-1432.2805622742796
52.0,1052.0,0.07754395157052103,0.22730612309186005,-1424.9257394873396
53.0,1053.0,-0.048766587447694576,0.22482278116196838,-1430.4622884993937
54.0,1054.0,0.37110966276094726,0.21249485855993255,-1458.8852049166808
55.0,1055.0,0.18048439898859223,0.21432096453453844,-1454.5725108824251
56.0,1056.0,0.3014804694565085,0.22225677416158335,-1436.2477644369478
57.0,1057.0,0.05453999491577132,0.2210127682099515,-1439.0766454209527
58.0,1058.0,0.1503353614462801,0.2064455942543731,-1473.4411713255859
59.0,1059.0,0.39538488125726,0.22496565369778826,-1430.142113654309
60.0,1060.0,-0.17284266245706972,0.22804689977565087,-1423.2859050764778
61.0,1061.0,0.1711119797311411,0.22729653501734692,-1424.9469993258786
62.0,1062.0,-0.15002149145028662,0.22443574482168824,-1431.330691163024
63.0,1063.0,-0.3003510399273816,0.2136390440000408,-1456.178672751705
64.0,1064.0,-0.24328374978664885,0.22368409878528986,-1433.0214338617257
65.0,1065.0,0.06214888272036685,0.22150133851188114,-1437.9637306704858
66.0,1066.0,0.02232930395666649,0.21901193044487444,-1443.660157150471
67.0,1067.0,-0.010803127260987231,0.20746049218244794,-1470.9695396958411
68.0,1068.0,0.25825330052883133,0.21421026183938355,-1454.8329102107066
69.0,1069.0,0.45956383538125345,0.2173827794005487,-1447.423247733138
70.0,1070.0,0.35611204539402036,0.23055716503758208,-1417.7683613358413
71.0,1071.0,0.1823573181753033,0.21605622057966029,-1450.508293019307
72.0,1072.0,-0.11578737873446573,0.229535690197344,-1420.0062787198792
73.0,1073.0,0.20177198668215113,0.22552524367782661,-1428.88998718753
74.0,1074.0,0.36919006901836127,0.21436305344251905,-1454.473535747719
75.0,1075.0,0.22262606988496253,0.21334074763677693,-1456.8828833722737
76.0,1076.0,0.029756101466057096,0.2176367582682815,-1446.8347415997666
77.0,1077.0,0.11545398052623027,0.22173614988277332,-1437.4297416378129
78.0,1078.0,0.18838641598743597,0.2181250538050314,-1445.7052206242763
79.0,1079.0,0.12303364484615116,0.2223521633842066,-1436.0314995607057
80.0,1080.0,-0.12765307624563335,0.219942913978911,-1441.5222770898313
81.0,1081.0,-0.04247838842573031,0.21846242596979476,-1444.9263005191365
82.0,1082.0,0.0086723363091553,0.21158009527344346,-1461.0595450718893
83.0,1083.0,0.016993659042957864,0.2163302466845609,-1449.8694653489383
84.0,1084.0,0.3111206432625975,0.21125515493488983,-1461.8341741045606
85.0,1085.0,0.17518893239233502,0.22404378820201798,-1432.211648657859
86.0,1086.0,-0.023600630520589763,0.21779479256264941,-1446.4689009173144
87.0,1087.0,0.09333695761902588,0.22530056983234942,-1429.3923347643617
88.0,1088.0,-0.09685375752746732,0.2268746645211765,-1425.883310529396
89.0,1089.0,0.10952448142120705,0.22349796624306426,-1433.4409981244087
90.0,1090.0,-0.0009448312393692163,0.21522144324422832,-1452.459361403944
91.0,1091.0,0.08019291307666011,0.2212889774982478,-1438.4471759395278
92.0,1092.0,-0.13309631623288515,0.21598017449318624,-1450.6857087626001
93.0,1093.0,0.12003040462091985,0.21639001369003888,-1449.7302491485507
94.0,1094.0,0.2130744421506523,0.21215931487726045,-1459.6816779832354
95.0,1095.0,-0.016833191052477874,0.22482121451063106,-1430.4658107560924
96.0,1096.0,0.016765770396561172,0.21021475642675932,-1464.3224272349944
97.0,1097.0,0.061753949793512626,0.21436952373023638,-1454.4583335302975
98.0,1098.0,-0.009228437668239933,0.2190324548788247,-1443.6129297796515
99.0,1099.0,0.23616868859829224,0.21776841841944855,-1446.5299339561132
100.0,1100.0,0.22858681645065754,0.2177997656113667,-1446.457392892218
101.0,1101.0,0.3143790681049505,0.2142333400935615,-1454.7786118054162
102.0,1102.0,0.2743798948376634,0.2142909914416283,-1454.643003088143
103.0,1103.0,0.1526658456961986,0.22009408895583427,-1441.1759802270592
104.0,1104.0,0.305815507569668,0.2156437068072617,-1451.4714843204551
105.0,1105.0,-0.1558082442603752,0.21806400025590142,-1445.8463107716607
106.0,1106.0,0.027659756682366383,0.21996547709897946,-1441.4705762686826
107.0,1107.0,-0.031428104224412445,0.224936676669607,-1430.2070362885688
108.0,1108.0,0.3992304545381683,0.2039176234069834,-1479.6508576219164
109.0,1109.0,-0.1022743682443361,0.21545482212683129,-1451.9131470623283
110.0,1110.0,0.1370424441989918,0.2166974196202262,-1449.0147663431003
111.0,1111.0,0.26232915242370003,0.2171631227804223,-1447.932785107452
112.0,1112.0,0.4239241791125504,0.2185900483517778,-1444.631957454508
113.0,1113.0,-0.08868439407173563,0.23444798038705333,-1409.3339640515644
114.0,1114.0,0.03598274456543343,0.20179429856698325,-1484.9263498845837
115.0,1115.0,0.41989821113431275,0.2321019333869658,-1414.4027444360338
116.0,1116.0,0.17558298332869687,0.21862359735625117,-1444.5545997430002
117.0,1117.0,0.3493463736683037,0.22044786810290165,-1440.366499083682
118.0,1118.0,-0.2555532031332169,0.21637443525531933,-1449.7665240009326
119.0,1119.0,0.2937668948495123,0.22463338444020411,-1430.8870606942492
120.0,1120.0,0.13025713716090567,0.21521316430602044,-1452.4787572021833
121.0,1121.0,0.09992366227153641,0.21550549840901603,-1451.7946171414899
122.0,1122.0,0.1392430658889354,0.2195456311447917,-1442.433475368638
123.0,1123.0,-0.018029583231501726,0.22141410999596062,-1438.162261264766
124.0,1124.0,-0.02554433192508881,0.20149954129019154,-1485.6630637224619
125.0,1125.0,0.12892412736866637,0.21057131806769647,-1463.4682697008948
126.0,1126.0,0.070693300932609,0.23236904887315996,-1413.8230495826715
127.0,1127.0,0.0450340107042337,0.2174231836643497,-1447.3295875413949
128.0,1128.0,0.19477448280155682,0.21240520711781768,-1459.0978790337342
129.0,1129.0,-0.16706704142420642,0.22440888852986302,-1431.3909907386037
130.0,1130.0,0.23924379467734996,0.22693969272598302,-1425.7388716639289
131.0,1131.0,0.05990661428683576,0.2247687220951107,-1430.5834908336467
132.0,1132.0,0.29202166290344,0.22808309834487697,-1423.2059099917285
133.0,1133.0,0.1618113968569757,0.22695328736507614,-1425.7086910342832
134.0,1134.0,0.09110440984994121,0.218449365127851,-1444.95641984116
135.0,1135.0,0.032679310197738634,0.22555109522885367,-1428.8322280687096
136.0,1136.0,0.10232387491009251,0.23267545508056628,-1413.158903465186
137.0,1137.0,0.057347894422551435,0.20959591733785227,-1465.8083119264084
138.0,1138.0,0.01652902565355246,0.22467842665685808,-1430.7860014141145
139.0,1139.0,0.10857424106966293,0.22050921156611772,-1440.226281984173
140.0,1140.0,-0.24133771610882887,0.2217323932180466,-1437.4382703236395
141.0,1141.0,0.172552329955521,0.20973475683951273,-1465.4745550613186
142.0,1142.0,-0.0682208083299477,0.22315727633611193,-1434.2098686237878
143.0,1143.0,0.060975658544404086,0.22383205473664883,-1432.6881730325242
144.0,1144.0,0.11342718031121674,0.20890110066842632,-1467.4818521338584
145.0,1145.0,0.025423829985681486,0.2200841436124993,-1441.1987527222059
146.0,1146.0,0.2426300457771793,0.20989658383196572,-1465.085842422468
147.0,1147.0,0.15179496727326935,0.20686757397461333,-1472.4120347325795
148.0,1148.0,0.2388798395287565,0.22554407829299078,-1428.84789766565
149.0,1149.0,0.27959441944651,0.22125806906398016,-1438.5175687978144
150.0,1150.0,0.002112804115684289,0.22703672207739428,-1425.5234398410535
151.0,1151.0,0.10118190583385324,0.21450861480351086,-1454.1314204375294
152.0,1152.0,0.02885505689075168,0.21565531844960154,-1451.4443464536944
153.0,1153.0,-0.2098501451655313,0.22374676090976994,-1432.8802647391224
154.0,1154.0,0.12132256703360762,0.20386512302819146,-1479.7806287134517
155.0,1155.0,0.2297634423460476,0.20351440769227153,-1480.6484244878202
156.0,1156.0,0.4062570229784893,0.23052285307191425,-1417.8433731778177
157.0,1157.0,0.06374070765424192,0.21750227116774948,-1447.1462811135364
158.0,1158.0,0.19235267612031076,0.23655193618131126,-1404.831210063975
159.0,1159.0,0.06257459337260796,0.21488005837576862,-1453.259442357804
160.0,1160.0,-0.08026025437753805,0.23084430663702468,-1417.14104444033
161.0,1161.0,0.18510830052157853,0.21437099309162355,-1454.4548687760544
162.0,1162.0,0.07277699062216007,0.22338998840595778,-1433.684563004067
163.0,1163.0,0.2436242014469973,0.2299682685948095,-1419.0573276709033
164.0,1164.0,0.13828861812702958,0.21921772680425725,-1443.1867917766865
165.0,1165.0,0.13496059858012951,0.2246365404988752,-1430.8799694553668
166.0,1166.0,0.06733515789491337,0.2122837596361966,-1459.3861316587702
167.0,1167.0,0.11476752238502431,0.22597391078532852,-1427.8883117360442
168.0,1168.0,0.15303266247842642,0.22935750271409924,-1420.3976701356978
169.0,1169.0,0.09069222305807938,0.21643929049964156,-1449.6154902267
170.0,1170.0,-0.16714041593062437,0.21746285919167638,-1447.237612305631
171.0,1171.0,0.17588961616412474,0.2187731956232965,-1444.2098439938
172.0,1172.0,0.09661699940996142,0.2278559780388293,-1423.7080325324152
173.0,1173.0,0.18921572727709887,0.2116722272145734,-1460.8401287626216
174.0,1174.0,-0.0441026638788992,0.21942157814494642,-1442.7183381659645
175.0,1175.0,-0.007226917333238619,0.22735857861361164,-1424.8094446310165
176.0,1176.0,0.11173175880512191,0.21315003656189846,-1457.3336321454306
177.0,1177.0,-0.1421613193613802,0.2256343933086203,-1428.6461204473192
178.0,1178.0,-0.06199844692264713,0.22273277149326642,-1435.1695164918538
179.0,1179.0,-0.021218625379841306,0.22576212154773215,-1428.3609045243852
180.0,1180.0,0.07312553259849527,0.21764531021146422,-1446.814947703995
181.0,1181.0,0.13702665877367134,0.22535371624706574,-1429.2734596356054
182.0,1182.0,0.09309172840168156,0.21729438382397837,-1447.6282343490798
183.0,1183.0,0.001021220504959415,0.22587981423928982,-1428.0982179466428
184.0,1184.0,0.07591525491743735,0.22523127016538547,-1429.547390795843
185.0,1185.0,0.16542471520509303,0.21982699661849175,-1441.7879823500368
186.0,1186.0,0.11310964115128962,0.22111771917507608,-1438.8373810469616
187.0,1187.0,-0.19102986566883218,0.2183631945290161,-1445.1552805677977
188.0,1188.0,0.23085518108259362,0.2176010726895933,-1446.9173986925641
189.0,1189.0,0.26475316716338737,0.22576071809094334,-1428.364037664769
190.0,1190.0,0.0778708575898326,0.21547870024496163,-1451.8572861397952
191.0,1191.0,0.17193702023201504,0.22043519993006352,-1440.3954759575972
192.0,1192.0,0.24617829102318028,0.2178435458212533,-1446.3561035666512
193.0,1193.0,0.05766392976450121,0.22385592601861187,-1432.6344252142312
